,model_nickname,model_path,dataset_name,iou,gutmask_precision,gutmask_recall,gutmask_f1,gutmask_perim_avg_precision,gutmask_perim_avg_recall,gutmask_perim_avg_f1,gutmask_perim_se_precision,gutmask_perim_se_recall,gutmask_perim_se_f1,gfp_gutmask_precision,gfp_gutmask_recall,gfp_gutmask_f1,rfp_gutmask_precision,rfp_gutmask_recall,rfp_gutmask_f1,gfp_gutmask_perim_avg_precision,gfp_gutmask_perim_avg_recall,gfp_gutmask_perim_avg_f1,rfp_gutmask_perim_avg_precision,rfp_gutmask_perim_avg_recall,rfp_gutmask_perim_avg_f1,gfp_gutmask_perim_se_precision,gfp_gutmask_perim_se_recall,gfp_gutmask_perim_se_f1,rfp_gutmask_perim_se_precision,rfp_gutmask_perim_se_recall,rfp_gutmask_perim_se_f1,iou_bm,bactmask_precision,bactmask_recall,bactmask_f1,gfp_bactmask_precision,gfp_bactmask_recall,gfp_bactmask_f1,rfp_bactmask_precision,rfp_bactmask_recall,rfp_bactmask_f1,bactmask_perim_avg_precision,bactmask_perim_avg_recall,bactmask_perim_avg_f1,gfp_bactmask_perim_avg_precision,gfp_bactmask_perim_avg_recall,gfp_bactmask_perim_avg_f1,rfp_bactmask_perim_avg_precision,rfp_bactmask_perim_avg_recall,rfp_bactmask_perim_avg_f1,bactmask_perim_se_precision,bactmask_perim_se_recall,bactmask_perim_se_f1,gfp_bactmask_perim_se_precision,gfp_bactmask_perim_se_recall,gfp_bactmask_perim_se_f1,rfp_bactmask_perim_se_precision,rfp_bactmask_perim_se_recall,rfp_bactmask_perim_se_f1
0,FT_s4ds50_v4,models/bf_to_gut_tl/set4_50im_patches256_meanstdNorm_imgenBR05_backresnet18_weightimagenetFencoder4ep_v4.hdf5,set4_7_10,0.9227938157010432,0.9649869318413552,0.9547612816537872,0.9598463730026572,0.9264122516661132,0.9166060587904804,0.9214566096765492,0.0267599964932821,0.0264896693698564,0.0266143012827196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FT_s4ds50_v4,models/bf_to_gut_tl/set4_50im_patches256_meanstdNorm_imgenBR05_backresnet18_weightimagenetFencoder4ep_v4.hdf5,5_24,0.475702178719035,0.7106182768526305,0.5899947530966403,0.6447124898598557,0.7013167708808136,0.5884150021378662,0.6357220595017656,0.0247638378456989,0.0351146579240139,0.0299600431126068,0.7827369190210597,0.5860306294641952,0.6702489034634884,0.7786268517868602,0.5646597555240046,0.654601807359111,0.7583526760325655,0.607752269204355,0.6651113739888601,0.7527873028996638,0.60538369246686,0.6626910691013669,0.0231996215551613,0.0413663690834542,0.0343826739375219,0.0141428783938687,0.0321504615517012,0.0234869571577916,0.3442320367914394,0.4368489389805864,0.6188515477873667,0.5121611467367907,0.6142969928444336,0.6041148595968073,0.6091628807746067,0.5957089677748661,0.5852799044137641,0.5904478877055223,0.4392434294110989,0.6275449850915936,0.4968036907328774,0.5488512408506249,0.6341839873785059,0.5573867251481849,0.5349018524679935,0.6369406546764218,0.5571452016312036,0.0354683755541527,0.0339874366528046,0.0309985247022245,0.0437174890153553,0.0405339508320824,0.0363437944010634,0.0387297482573953,0.0338976645963931,0.0272608532879416
2,FT_s4ds50_v4,models/bf_to_gut_tl/set4_50im_patches256_meanstdNorm_imgenBR05_backresnet18_weightimagenetFencoder4ep_v4.hdf5,6_4,0.5443869502636967,0.7465265228398624,0.6678280013606135,0.7049872640652511,0.7459894128156748,0.6691227099382572,0.7036086968992353,0.0171042306022723,0.0256084323543768,0.0205170865859481,0.8233511631737848,0.7514917235399191,0.7857814859137816,0.7732604118745279,0.6872103278020211,0.7276998611945862,0.7983318229385918,0.7195633792641842,0.7551480931078876,0.7639445917674174,0.6829715140302691,0.7194619137315156,0.0202775603260454,0.0281386120160841,0.0235897695856427,0.0147179770818743,0.0228706500767166,0.0176514214672811,0.3545424138729513,0.4072020712430057,0.7327328801292355,0.5234861591957042,0.6044316450478181,0.8098795223027462,0.6922330490488582,0.4727795212310485,0.7420274739198043,0.577565171221195,0.4080141303654862,0.6870392388326707,0.4948984991013328,0.5225174022085074,0.7244030879482598,0.59296848743471,0.4269893017478928,0.6988880192795383,0.5148038551328412,0.0494660021547543,0.0559720249933183,0.0484702568822266,0.0630677903732528,0.0586880699228651,0.0596308028781429,0.0499847982871148,0.0565004824525578,0.0482060837295838
3,FT_s4ds50_v4,models/bf_to_gut_tl/set4_50im_patches256_meanstdNorm_imgenBR05_backresnet18_weightimagenetFencoder4ep_v4.hdf5,6_6,0.5139995763690064,0.7328074050694512,0.6325463314963778,0.6789951700551525,0.6538879684913405,0.5704141632261586,0.6036759474373985,0.0507727866727357,0.0531836198412046,0.0510846203671173,0.7515904903781794,0.6178456965377819,0.6781865637585849,0.8032455774730087,0.701644774426831,0.7490149522141843,0.6722160703693673,0.5739949754674716,0.6123996020566402,0.6956664911892586,0.6073284696551505,0.642654727675018,0.0517199943738177,0.0539607724833182,0.0517666087614294,0.0545606628495993,0.0580313254978143,0.0557762093991573,0.22972915402231,0.2524971413252357,0.7181270748075386,0.3736252272934011,0.3015231415369533,0.6463706413628165,0.4112180168029894,0.4645863390147856,0.7971606006239609,0.587042646817001,0.2281078655988138,0.5475914763587144,0.2989350397104687,0.251273937761622,0.524623152153409,0.3118810988084129,0.32738069548726,0.5827259886295406,0.4005956782704015,0.0448426201913097,0.0729193069153925,0.0529124850915272,0.046392105924161,0.0723294598620968,0.053047823522863,0.0547696748309522,0.0760704402914286,0.0604057143908197
4,PT_s4ds50_FT_s5_524,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_5_24_v1.hdf5,set4_7_10,0.809215190338197,0.8755479224688273,0.9143916388336968,0.8945478045607553,0.84073507402785,0.8782293548778385,0.8588664840102243,0.0244707322610104,0.0256007934107196,0.0249450467855955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT_s4ds50_FT_s5_524,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_5_24_v1.hdf5,5_24,0.9349039033996368,0.9653863110729788,0.967329513903322,0.9663564356155452,0.9652130139184164,0.9672269282571428,0.9661742700522652,0.0023195447356202,0.0022482685794813,0.0017519318808996,0.9690609345480616,0.9745667764876984,0.9718055571420144,0.9711017435532848,0.976096435673376,0.9735921837590552,0.9699761686405288,0.9732848568250844,0.9715994588573617,0.9684730846778076,0.9732599549227954,0.9708440062802915,0.0020714065059768,0.0017307969731877,0.0015052751263113,0.00205660372355,0.001320882103227,0.0014797290282008,0.4630542543937233,0.501618937604277,0.8576115993969391,0.632996230084106,0.6719158290675492,0.8875892221740196,0.7648386456899959,0.6553711320687385,0.8924570332218232,0.755755983026069,0.50022028291454,0.8602685631917049,0.6164578553295318,0.60296799017152,0.885055119729777,0.7001114752797384,0.5851226829235402,0.8788841882139046,0.6900820438195866,0.0361956932311327,0.0081487046743061,0.0301103766043526,0.0423590857736342,0.0083711824727291,0.0342033828473488,0.0375534795238216,0.0086372691017508,0.0284399363163867
6,PT_s4ds50_FT_s5_524,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_5_24_v1.hdf5,6_4,0.5486266234380548,0.7540013292506755,0.6682367279096733,0.7085326177218173,0.7529296519722151,0.6694314672282612,0.7070513542179403,0.0132197895186351,0.0243083938358903,0.0181561081083024,0.8139340071174006,0.7036378427618641,0.7547772997707117,0.7646936457326197,0.6707028482311332,0.7146204565271015,0.7892473902382678,0.685513521629554,0.7292545188887741,0.7593107013105451,0.6706046073387194,0.7101983050770023,0.0175306698460271,0.0372969660072693,0.0293825533493955,0.0141835577085238,0.0253943011116206,0.0193082739924088,0.3629187356926685,0.4156510539551988,0.74097479568947,0.5325606177604887,0.5744200155547503,0.7289935476982515,0.6425407492195716,0.4722793226942474,0.731541601479385,0.5739918257536523,0.4176875276292954,0.7080946846382687,0.5061049601242692,0.5033917984895179,0.6940332231873189,0.5582168591917216,0.4316039032039685,0.7108933632126443,0.5204453484667632,0.0482402785375733,0.0566624117834979,0.0465262831540983,0.0580397264669049,0.0681295709661451,0.0558259136229443,0.0478097406699225,0.056342556699927,0.0455435758486828
7,PT_s4ds50_FT_s5_524,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_5_24_v1.hdf5,6_6,0.5010170835917739,0.701950722798167,0.6364001138733609,0.6675696295724971,0.6262711837312462,0.5721222718223716,0.5935857893911288,0.0489718682403735,0.0525787464910096,0.0500012759859565,0.7287153984997988,0.6473095591351589,0.6856039898384586,0.7693435774867677,0.6750448210635438,0.7191154935396072,0.652144195603767,0.5917828394390331,0.615887400971483,0.670977363747927,0.5908777136810491,0.6224384454323285,0.0502668048034454,0.0527497038123966,0.0504335704182608,0.0524814463231557,0.0561560897755772,0.0534274383114856,0.225197922591198,0.2453360848826443,0.7328707635282697,0.3676103072390231,0.3103916891235384,0.7189958463231593,0.4335978642237547,0.4401340074056946,0.758590922391342,0.5570608833166979,0.2190815812793453,0.5087312959827094,0.2910073968286918,0.2518576479214848,0.5096276555751592,0.3190068630286298,0.2967817277666683,0.5459419485754693,0.3697422618756252,0.0445732430696659,0.080339905652125,0.0537421982221721,0.0484913412300955,0.0799411406368252,0.055849609376238,0.054993924923024,0.0839703624846137,0.0629307618820604
8,PT_s4ds50_FT_s5_64,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_4_v1.hdf5,set4_7_10,0.7894957553746583,0.8670091207716043,0.8982782103183513,0.8823662260946732,0.8331440501735439,0.8628024022004571,0.8473973129689361,0.0244127726880553,0.0254141747216182,0.0247899125792562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT_s4ds50_FT_s5_64,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_4_v1.hdf5,5_24,0.4967887250154789,0.7171802769962177,0.617826044678827,0.6638055786874437,0.7102022337599962,0.6162803439686246,0.6544766788367932,0.0168535436154958,0.0339592947643975,0.0260371646491634,0.7848218068890151,0.6096620145394599,0.6862405907757636,0.7748219685833093,0.5825192740559746,0.6650477919027195,0.7726890355625379,0.6414245772109947,0.6903352895344395,0.7541682773423212,0.6297032242196151,0.6760344559455385,0.0144361369458927,0.0391251500044608,0.028600622061678,0.0142159895183018,0.0345398728850499,0.0244987100371211,0.3416320012004247,0.4278773981657924,0.6289275812461226,0.5092777715887741,0.6100380548257863,0.6224602670529681,0.6161860599493085,0.578240192671305,0.5889638855387771,0.5835522771587633,0.4351226635647938,0.6332983683656078,0.492093890345305,0.5442931900720189,0.6490966991516793,0.559089689053953,0.5218761045193798,0.6429972066818843,0.5484945280052511,0.0386757950664821,0.0359645424863343,0.0326224224150744,0.0456800641345011,0.0410481121821115,0.0365685659796343,0.0426618779720604,0.0401674341381497,0.0324294662810659
